HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Bayern Munich,Leverkusen,3,1,H,13,19,8,4,13,17,4,5,1,2,0,0,1.25,6,12
Hannover 96,Augsburg,1,0,H,11,13,5,1,18,16,3,7,4,3,0,0,2.1,3.4,3.6
Hoffenheim,Stuttgart,2,0,H,10,9,3,2,18,12,5,1,2,1,0,0,2,3.4,3.9
Köln,Werder Bremen,1,0,H,14,11,3,2,17,15,6,4,1,3,0,0,1.75,4,4.33
Mainz 05,Hertha BSC,0,1,A,14,6,6,2,18,14,13,1,3,5,0,0,2,3.4,4
Schalke 04,RB Leipzig,2,0,H,11,12,5,3,22,18,4,5,2,2,0,0,2.8,3.4,2.5
Wolfsburg,Dortmund,0,3,A,9,13,0,5,7,15,3,5,0,0,0,0,3.8,4,1.85
Hamburger SV,Eint Frankfurt,0,0,D,7,15,1,2,8,17,3,7,1,2,0,0,2.45,3.25,3
M'Gladbach,Freiburg,1,0,H,22,13,8,2,12,11,5,3,3,2,0,0,1.91,3.5,4.1
Freiburg,Hannover 96,1,3,A,20,12,6,4,9,9,6,7,2,2,0,1,1.95,3.4,4
Augsburg,M'Gladbach,2,2,D,24,15,9,3,13,12,10,0,2,2,0,0,3.25,3.4,2.25
Dortmund,Hoffenheim,2,0,H,18,7,8,4,12,9,4,4,1,1,0,0,1.36,5,7.5
Eint Frankfurt,Wolfsburg,0,1,A,12,7,6,3,18,19,7,2,3,1,0,0,2.3,3.25,3.3
Leverkusen,Köln,2,2,D,16,6,3,4,16,11,6,1,2,2,0,0,2.05,3.6,3.6
Stuttgart,Mainz 05,1,0,H,17,13,4,6,12,18,5,6,2,1,0,0,2.3,3.4,3.1
Werder Bremen,Bayern Munich,0,2,A,4,19,1,8,9,10,2,8,1,1,0,0,11,6.5,1.25
Hertha BSC,Schalke 04,1,0,H,11,8,3,1,17,17,2,6,1,2,0,0,3.3,3.4,2.2
RB Leipzig,Hamburger SV,4,1,H,29,7,11,2,11,13,8,2,2,0,0,1,1.36,5,8.5
Hannover 96,RB Leipzig,0,2,A,9,19,2,4,14,11,4,14,1,1,0,0,4,3.6,1.91
Augsburg,Freiburg,3,0,H,10,13,4,3,15,13,6,9,0,0,0,0,2.38,3.3,3.1
Hamburger SV,Dortmund,0,0,D,5,27,2,3,10,11,0,7,0,0,1,0,7.5,5,1.4
Köln,Bayern Munich,2,0,H,6,23,3,6,15,9,2,4,3,1,0,0,7,4.5,1.45
Mainz 05,Leverkusen,3,1,H,14,13,5,2,16,15,1,3,2,2,0,0,3,3.4,2.38
M'Gladbach,Eint Frankfurt,0,1,A,15,12,3,6,17,17,13,5,3,2,0,0,1.83,3.6,4.5
Wolfsburg,Hertha BSC,1,1,D,17,7,6,2,13,20,3,1,0,1,0,0,1.83,3.6,4.5
Hoffenheim,Werder Bremen,1,1,D,8,10,4,5,9,12,5,7,1,0,0,0,1.91,3.6,4
Schalke 04,Stuttgart,3,1,H,12,11,4,2,15,19,2,1,1,1,0,0,1.7,3.75,5
Hertha BSC,Hannover 96,2,0,H,17,12,4,3,17,16,4,7,1,0,0,0,1.95,3.5,4
Bayern Munich,Mainz 05,4,0,H,28,11,14,4,9,5,10,5,2,2,0,0,1.13,10,19
Eint Frankfurt,Augsburg,1,2,A,23,11,8,3,13,13,4,4,2,3,0,0,1.85,3.5,4.5
RB Leipzig,M'Gladbach,2,2,D,10,10,3,3,13,12,3,2,1,1,1,0,1.67,3.8,5.5
Stuttgart,Wolfsburg,1,0,H,8,8,4,1,14,19,2,3,2,3,0,0,2.3,3.5,3
Werder Bremen,Schalke 04,1,2,A,16,11,2,4,15,17,6,5,2,2,0,0,2.8,3.5,2.5
Dortmund,Freiburg,5,0,H,22,6,8,2,11,12,8,5,0,3,0,0,1.22,6,13
Köln,Hoffenheim,1,1,D,8,9,2,4,15,20,5,2,2,2,0,0,1.67,3.8,5.5
Leverkusen,Hamburger SV,4,0,H,22,4,9,1,4,13,5,4,0,2,0,0,1.45,4.5,7
Augsburg,RB Leipzig,1,0,H,11,14,4,3,15,17,3,2,2,2,0,0,3.5,3.5,2.1
M'Gladbach,Stuttgart,2,0,H,9,11,3,4,9,8,4,1,0,1,0,0,1.7,3.8,5
Schalke 04,Bayern Munich,0,3,A,11,12,4,8,13,11,2,6,1,1,0,0,7,4.75,1.44
Wolfsburg,Werder Bremen,1,1,D,13,11,4,4,10,18,3,4,1,2,0,0,2.05,3.5,3.6
Freiburg,Eint Frankfurt,0,1,A,17,8,8,4,20,20,4,5,2,1,0,0,2.88,3.1,2.63
Hamburger SV,Hertha BSC,1,1,D,23,14,5,3,17,19,5,3,2,4,0,0,2.8,3.25,2.6
Hannover 96,Dortmund,0,3,A,6,17,2,7,15,14,4,3,3,0,0,0,7,4.75,1.44
Hoffenheim,Leverkusen,2,1,H,5,12,3,5,12,25,3,6,1,2,0,0,3.3,3.4,2.2
Mainz 05,Köln,2,3,A,20,18,6,6,9,13,5,11,3,3,0,0,2.7,3.4,2.6
Bayern Munich,Wolfsburg,2,2,D,19,8,3,3,9,11,7,3,1,2,0,0,1.14,8.5,19
Dortmund,M'Gladbach,6,1,H,18,8,9,5,2,6,7,0,0,1,0,0,1.44,4.75,7
Köln,Schalke 04,2,0,H,12,17,6,3,16,15,0,5,3,2,0,0,2.2,3.5,3.25
Mainz 05,Hoffenheim,1,0,H,8,4,3,1,22,22,4,1,3,3,0,1,2.2,3.3,3.4
RB Leipzig,Eint Frankfurt,2,1,H,17,9,5,3,9,16,2,4,1,2,0,0,1.7,3.8,5
Stuttgart,Augsburg,0,0,D,15,9,2,2,7,14,5,3,1,2,0,0,2.1,3.4,3.6
Werder Bremen,Hamburger SV,0,0,D,17,13,6,6,15,9,4,5,2,1,0,0,1.7,4,4.75
Hertha BSC,Freiburg,0,0,D,14,6,1,1,17,17,6,7,4,2,0,0,1.95,3.6,3.8
Leverkusen,Hannover 96,3,0,H,17,12,6,2,17,18,6,3,2,2,0,0,1.36,5,8.5
Schalke 04,Leverkusen,1,1,D,14,10,5,6,19,16,7,4,2,3,0,0,2.3,3.4,3.1
Augsburg,Dortmund,1,2,A,10,14,5,8,23,12,5,5,4,1,0,0,7.5,4.5,1.44
Eint Frankfurt,Stuttgart,2,1,H,10,13,6,5,10,17,3,6,1,1,1,0,1.95,3.5,4
Hannover 96,Werder Bremen,0,0,D,17,8,6,3,13,27,6,7,1,3,0,0,2.7,3.2,2.75
M'Gladbach,Hertha BSC,2,1,H,23,15,8,2,12,13,8,7,1,1,0,0,1.73,3.6,5.25
Wolfsburg,Mainz 05,1,1,D,6,10,2,3,7,13,5,6,4,4,1,0,2.1,3.4,3.6
Freiburg,RB Leipzig,1,2,A,16,23,6,10,9,13,9,7,0,2,0,0,3.8,3.5,2
Hamburger SV,Köln,3,2,H,15,15,6,6,13,17,9,7,2,3,0,0,3.6,3.5,2.05
Hoffenheim,Bayern Munich,2,2,D,10,15,5,5,14,11,1,9,0,2,0,0,8.5,5,1.36
Stuttgart,Freiburg,2,1,H,22,17,7,3,12,13,5,4,2,3,0,0,1.83,3.6,4.33
Bayern Munich,Hamburger SV,5,0,H,22,6,10,2,5,7,9,1,0,0,0,0,1.08,13,21
Dortmund,RB Leipzig,2,3,A,15,7,8,6,16,19,3,2,2,5,1,1,1.5,4.5,6.5
Hertha BSC,Eint Frankfurt,1,2,A,10,12,2,4,15,16,6,5,3,3,0,0,2.38,3.2,3.1
Hoffenheim,Schalke 04,0,2,A,2,10,0,6,12,20,1,5,1,2,1,0,2.5,3.3,2.9
Köln,Augsburg,2,2,D,22,13,7,5,5,11,6,3,1,0,0,0,1.8,3.75,4.5
Mainz 05,Hannover 96,3,2,H,14,9,4,2,14,17,4,2,1,1,0,0,1.7,3.75,5.25
Leverkusen,Wolfsburg,2,2,D,17,11,10,4,16,13,11,2,2,2,0,0,1.53,4.33,6
Werder Bremen,M'Gladbach,0,2,A,18,16,5,8,11,10,5,5,1,0,0,0,2.63,3.5,2.6
Schalke 04,Mainz 05,2,0,H,14,4,5,2,17,15,5,1,3,0,0,0,1.8,3.7,4.5
Augsburg,Hertha BSC,1,2,A,15,11,5,6,11,9,11,2,1,2,0,0,2.04,3.5,3.6
Eint Frankfurt,Dortmund,2,2,D,14,20,7,7,14,10,4,4,2,3,0,0,5,3.75,1.72
Hannover 96,Bayern Munich,0,1,A,7,21,3,4,9,9,7,7,1,2,1,0,19,7,1.16
M'Gladbach,Leverkusen,1,5,A,19,13,3,6,12,11,4,4,3,0,0,0,2.45,3.39,2.87
RB Leipzig,Stuttgart,1,0,H,15,11,3,2,10,18,3,5,0,1,0,0,1.53,4,7
Freiburg,Werder Bremen,0,0,D,18,13,8,2,16,20,3,6,3,3,0,0,2.39,3.29,3
Hamburger SV,Hoffenheim,1,1,D,20,11,8,3,20,15,6,1,4,3,0,0,2.54,3.29,2.79
Wolfsburg,Köln,1,1,D,14,14,6,5,12,24,8,4,1,3,0,0,2.5,3.39,2.79
Mainz 05,Eint Frankfurt,1,1,D,7,8,3,3,15,21,5,5,0,2,0,0,2.79,3.2,2.54
Bayern Munich,RB Leipzig,2,0,H,23,3,7,1,7,9,11,1,1,0,0,1,1.33,5.5,8.5
Hertha BSC,Dortmund,4,2,H,13,10,7,4,17,9,5,6,2,0,0,1,5.5,4.2,1.57
Hoffenheim,Hannover 96,2,1,H,8,12,3,4,14,13,9,11,0,0,0,0,1.9,3.39,4.33
Köln,M'Gladbach,1,3,A,16,16,5,6,14,13,5,5,2,1,0,0,2.04,3.6,3.5
Leverkusen,Freiburg,2,1,H,17,9,5,2,14,13,8,10,3,2,0,0,1.33,5.25,9
Schalke 04,Wolfsburg,1,1,D,14,7,7,2,18,12,4,2,0,0,0,0,1.75,3.6,5
Stuttgart,Hamburger SV,3,0,H,18,6,6,0,13,10,6,0,3,0,0,1,1.83,3.5,4.5
Werder Bremen,Augsburg,0,3,A,16,18,3,6,15,11,7,3,2,0,0,0,2.29,3.29,3.2
Eint Frankfurt,Werder Bremen,2,1,H,16,13,5,7,11,13,7,8,0,0,0,0,1.75,3.75,4.75
Augsburg,Leverkusen,1,1,D,14,11,4,3,13,15,6,3,3,2,0,0,3.5,3.6,2.04
Dortmund,Bayern Munich,1,3,A,15,10,4,5,12,16,4,3,2,2,0,0,3.29,3.79,2.04
Hamburger SV,Schalke 04,0,1,A,13,8,2,3,14,12,6,1,1,1,0,0,3.79,3.29,2.04
Hannover 96,Stuttgart,3,1,H,21,3,12,2,14,10,11,3,2,2,0,1,2.45,3.39,2.87
M'Gladbach,Mainz 05,1,1,D,10,20,3,7,5,14,9,9,1,0,0,0,1.61,4,5.5
RB Leipzig,Hertha BSC,2,1,H,18,12,6,4,11,16,2,3,1,4,0,0,1.44,4.5,7.5
Freiburg,Köln,0,3,A,12,22,4,8,17,14,7,6,0,0,0,0,2.87,3.39,2.45
Wolfsburg,Hoffenheim,3,3,D,20,10,8,6,14,19,4,2,1,1,0,0,2,3.39,4
Stuttgart,Dortmund,2,1,H,9,13,4,7,16,12,5,4,2,0,0,0,4.2,3.89,1.8
Bayern Munich,Augsburg,3,0,H,16,8,6,3,13,16,6,3,0,3,0,0,1.16,8,15
Hoffenheim,M'Gladbach,2,4,A,16,8,8,5,15,12,8,2,2,1,0,0,2.89,3.25,2.5
Köln,Eint Frankfurt,1,1,D,13,5,6,3,14,19,4,3,0,2,0,0,2.2,3.39,3.39
