HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Marseille,Toulouse,4,0,H,23,5,10,1,7,20,5,1,1,3,0,0,1.4,4.5,8
Angers,Nîmes,3,4,A,21,14,7,5,20,12,5,1,2,2,0,1,2.3,3.2,3.3
Lille,Rennes,3,1,H,15,8,6,2,12,13,2,6,1,0,0,0,2.5,3.1,3.1
Montpellier,Dijon,1,2,A,16,9,7,4,15,21,4,2,2,2,0,0,1.72,3.5,5.5
Nantes,Monaco,1,3,A,16,11,4,6,8,15,7,2,1,0,0,0,3.2,3.25,2.3
Nice,Reims,0,1,A,19,5,1,3,13,14,10,2,1,2,0,0,1.85,3.5,4.5
Saint-Étienne,Guingamp,2,1,H,11,11,6,5,14,11,6,9,3,1,0,0,1.8,3.5,4.75
Bordeaux,Strasbourg,0,2,A,5,17,2,6,6,12,3,10,1,0,1,0,1.7,3.6,5
Lyon,Amiens,2,0,H,15,10,7,1,9,17,10,1,0,2,0,0,1.2,7,13
Paris S-G,Caen,3,0,H,11,5,8,1,13,7,6,3,1,0,0,0,1.08,12,23
Reims,Lyon,1,0,H,7,19,2,5,11,10,0,4,2,0,0,0,4.75,4,1.7
Amiens,Montpellier,1,2,A,11,7,2,3,15,15,6,2,1,3,0,0,3.2,3,2.5
Caen,Nice,1,1,D,13,16,4,5,22,11,5,10,2,2,0,0,2.75,3.1,2.75
Dijon,Nantes,2,0,H,14,7,7,0,18,13,3,4,0,1,0,1,2.6,3.25,2.8
Guingamp,Paris S-G,1,3,A,11,17,3,7,15,16,4,7,0,1,0,0,13,7,1.2
Monaco,Lille,0,0,D,10,13,1,4,10,14,8,4,0,0,0,0,1.5,4.33,6.5
Rennes,Angers,1,0,H,5,7,2,0,8,11,3,0,1,2,0,0,1.9,3.3,4.5
Nîmes,Marseille,3,1,H,14,10,7,5,11,11,6,7,3,1,0,0,4.75,3.8,1.72
Strasbourg,Saint-Étienne,1,1,D,11,9,5,2,11,7,7,2,1,2,0,1,2.6,3.2,2.8
Toulouse,Bordeaux,2,1,H,13,15,5,8,10,11,1,2,1,1,0,0,2.6,3.1,2.9
Lyon,Strasbourg,2,0,H,22,9,10,1,13,13,5,4,1,2,0,0,1.28,5.75,11
Amiens,Reims,4,1,H,14,7,8,3,18,17,4,2,1,1,0,1,2.6,3.25,2.8
Montpellier,Saint-Étienne,0,0,D,14,9,1,2,12,14,6,3,3,0,0,0,2.4,3.1,3.2
Nantes,Caen,1,1,D,16,3,3,2,16,16,3,1,2,3,0,1,1.95,3.25,4.33
Nice,Dijon,0,4,A,16,9,3,5,11,19,5,3,2,3,0,0,1.9,3.4,4.33
Paris S-G,Angers,3,1,H,13,11,5,6,10,2,9,1,2,0,0,0,1.07,13,26
Toulouse,Nîmes,1,0,H,10,9,5,0,17,21,3,3,1,3,0,0,2.3,3.2,3.3
Bordeaux,Monaco,2,1,H,14,15,6,5,10,14,5,8,1,2,0,0,3.1,3.3,2.37
Lille,Guingamp,3,0,H,13,13,7,4,13,13,4,4,2,1,0,1,2,3.4,3.9
Marseille,Rennes,2,2,D,8,7,3,2,16,15,8,4,1,1,0,0,1.5,4.33,6.5
Lyon,Nice,0,1,A,29,8,9,1,6,14,10,5,0,2,0,0,1.33,5.25,9.5
Angers,Lille,1,0,H,6,17,3,4,14,8,4,5,0,1,1,0,2.45,3.25,3
Dijon,Caen,0,2,A,15,9,2,4,11,13,9,5,0,3,0,0,1.9,3.4,4.33
Guingamp,Toulouse,1,2,A,23,5,5,4,12,13,11,4,3,2,0,1,2.04,3.4,3.75
Nîmes,Paris S-G,2,4,A,14,7,6,5,12,11,3,4,1,3,1,1,11,7,1.22
Reims,Montpellier,0,1,A,21,9,6,3,11,11,5,5,0,0,0,0,2.6,3.1,2.9
Strasbourg,Nantes,2,3,A,10,14,5,5,12,12,1,3,1,2,0,0,2.3,3.1,3.4
Monaco,Marseille,2,3,A,8,15,4,5,11,16,1,5,1,1,0,0,2.8,3.3,2.54
Rennes,Bordeaux,2,0,H,16,8,8,1,12,14,6,5,0,3,0,0,2.1,3.3,3.75
Saint-Étienne,Amiens,0,0,D,19,9,5,2,11,12,14,1,3,2,0,0,1.61,3.75,6
Nice,Rennes,2,1,H,13,10,4,3,10,19,3,2,4,1,0,0,2.5,3.25,2.8
Paris S-G,Saint-Étienne,4,0,H,16,11,9,2,12,13,7,4,1,1,0,0,1.25,6,11
Amiens,Lille,2,3,A,8,18,4,9,12,21,3,3,1,2,0,0,3.4,3.1,2.3
Caen,Lyon,2,2,D,18,17,4,6,15,13,2,4,1,2,2,0,5.5,3.75,1.64
Dijon,Angers,1,3,A,11,13,3,6,11,13,4,6,2,2,0,0,2.14,3.4,3.4
Montpellier,Strasbourg,1,1,D,10,7,3,1,15,14,5,5,1,2,0,0,1.95,3.4,4.2
Toulouse,Monaco,1,1,D,13,12,6,2,17,17,6,3,2,3,0,0,3,3.3,2.4
Bordeaux,Nîmes,3,3,D,15,14,4,5,12,9,8,3,2,0,0,0,1.83,3.4,4.5
Marseille,Guingamp,4,0,H,17,2,6,0,7,9,8,1,1,1,0,0,1.28,5.75,10
Nantes,Reims,0,0,D,12,7,6,0,13,12,7,7,3,4,0,0,1.9,3.25,4.33
Monaco,Nîmes,1,1,D,15,9,4,2,15,15,5,5,1,2,0,0,1.75,4,4.33
Angers,Toulouse,0,0,D,16,7,4,0,14,14,4,4,1,2,0,0,2.14,3.2,3.6
Lille,Nantes,2,1,H,11,11,8,4,15,12,4,1,3,4,0,0,1.85,3.5,4.5
Montpellier,Nice,1,0,H,12,9,5,2,14,11,6,5,3,2,0,0,2.2,3,3.75
Reims,Dijon,0,0,D,11,6,2,0,15,14,9,3,1,1,0,0,2.04,3.3,3.8
Saint-Étienne,Caen,2,1,H,23,9,7,2,3,20,9,6,2,3,0,0,1.64,3.5,6.5
Strasbourg,Amiens,3,1,H,13,8,6,3,16,13,1,1,1,4,0,0,1.8,3.3,5.25
Guingamp,Bordeaux,1,3,A,18,11,5,6,14,17,6,4,1,4,0,0,2.25,3.1,3.5
Lyon,Marseille,4,2,H,17,9,5,3,7,12,3,7,1,2,0,1,1.95,3.5,3.8
Rennes,Paris S-G,1,3,A,14,15,4,6,11,17,9,4,2,3,0,0,7.5,4.5,1.4
Monaco,Angers,0,1,A,7,6,0,3,13,12,5,4,1,2,0,0,1.75,3.8,4.75
Nantes,Nice,1,2,A,10,12,3,5,12,15,8,8,1,2,0,0,2.4,3.2,3.1
Toulouse,Saint-Étienne,2,3,A,20,14,6,8,13,14,4,2,1,2,0,0,2.6,3,3
Amiens,Rennes,2,1,H,12,15,3,2,11,18,9,6,0,2,0,1,3.25,3.1,2.4
Bordeaux,Lille,1,0,H,7,15,3,6,13,19,3,4,1,3,0,1,2.45,3.2,3
Caen,Montpellier,2,2,D,11,16,3,6,10,14,4,6,2,2,0,1,3,3,2.6
Dijon,Lyon,0,3,A,30,16,6,5,12,11,8,2,2,2,1,1,5.75,4.2,1.57
Marseille,Strasbourg,3,2,H,13,9,5,5,12,13,3,2,3,3,1,0,1.44,4.5,7.5
Nîmes,Guingamp,0,0,D,7,9,2,3,11,12,4,3,3,3,0,0,1.95,3.6,3.8
Paris S-G,Reims,4,1,H,15,9,7,3,12,13,8,4,0,1,0,0,1.12,9,21
Saint-Étienne,Monaco,2,0,H,16,20,5,7,8,9,6,3,0,1,0,0,1.95,3.4,4
Angers,Guingamp,0,1,A,11,11,4,5,15,13,1,4,3,3,0,0,2.14,3.2,3.7
Caen,Amiens,1,0,H,12,7,4,2,15,11,7,4,2,2,0,1,2.14,3.25,3.6
Lyon,Nantes,1,1,D,20,19,7,4,15,12,10,10,3,4,0,0,1.3,5.75,9.5
Nice,Paris S-G,0,3,A,9,21,1,8,13,12,3,7,3,2,1,0,7.5,5.5,1.36
Reims,Bordeaux,0,0,D,9,7,0,3,16,23,7,1,2,3,0,0,2.3,3.25,3.25
Strasbourg,Dijon,3,0,H,7,14,5,1,11,17,0,5,1,3,0,0,1.95,3.5,4
Lille,Marseille,3,0,H,16,8,4,3,8,14,5,2,1,3,0,0,3.1,3.4,2.3
Montpellier,Nîmes,3,0,H,19,11,6,3,15,18,4,1,2,3,0,0,1.85,3.6,4.33
Rennes,Toulouse,1,1,D,22,5,7,2,17,14,7,3,1,4,0,1,1.95,3.5,4
Toulouse,Nice,1,1,D,13,11,2,2,17,14,3,2,1,2,0,0,2.37,3.3,3.1
Amiens,Dijon,1,0,H,8,10,2,3,19,18,6,2,0,0,0,0,2.4,3.25,3.1
Angers,Strasbourg,2,2,D,24,9,6,4,11,13,6,1,1,5,0,0,2.37,3.1,3.3
Guingamp,Montpellier,1,1,D,7,11,2,5,11,17,3,4,0,3,1,1,2.8,3.1,2.7
Lille,Saint-Étienne,3,1,H,12,6,5,2,8,10,1,4,2,1,0,0,2,3.4,3.9
Nîmes,Reims,0,0,D,17,9,5,2,13,11,9,1,1,1,0,0,2.3,3.3,3.2
Bordeaux,Nantes,3,0,H,16,12,7,2,19,15,4,6,1,1,0,0,2.25,3.2,3.4
Marseille,Caen,2,0,H,17,7,6,2,14,14,4,2,3,5,0,0,1.33,5.25,9
Monaco,Rennes,1,2,A,8,11,2,4,18,16,2,3,5,1,1,0,2,3.5,3.75
Paris S-G,Lyon,5,0,H,14,16,8,6,11,16,2,10,2,4,1,1,1.33,5.5,8.5
Lyon,Nîmes,2,0,H,13,23,5,6,10,11,7,7,1,2,0,0,1.3,5.5,9.5
Caen,Guingamp,0,0,D,4,7,2,2,17,5,3,2,0,0,0,0,2.1,3.25,3.75
Dijon,Lille,1,2,A,17,8,7,3,20,13,10,5,2,2,0,0,3.3,3.5,2.14
Nantes,Toulouse,4,0,H,18,5,9,2,12,13,4,3,3,1,0,0,2,3.3,4
Paris S-G,Amiens,5,0,H,16,8,8,2,12,10,10,5,0,0,0,0,1.08,11,26
Reims,Angers,1,1,D,12,16,5,6,13,7,8,6,1,0,0,0,2.25,3.1,3.5
Strasbourg,Monaco,2,1,H,8,12,5,5,13,11,4,6,2,3,0,1,2.7,3.25,2.7
Montpellier,Bordeaux,2,0,H,13,12,4,3,13,11,2,3,2,3,0,0,2.14,3.25,3.6
Nice,Marseille,0,1,A,14,9,3,1,12,9,5,7,3,1,0,0,3.5,3.5,2.04
Saint-Étienne,Rennes,1,1,D,8,15,2,5,13,11,2,4,1,1,0,0,2.14,3.2,3.75
Nîmes,Saint-Étienne,1,1,D,13,13,6,5,6,15,7,4,1,3,0,0,2.62,3.3,2.7
Amiens,Nantes,1,2,A,18,12,8,5,16,10,10,2,1,2,0,0,3,3.2,2.5
