Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
1,Marseille,Toulouse,4,0,2.6,0.3
1,Nantes,Monaco,1,3,1.6,2.2
1,Montpellier,Dijon,1,2,2,2
1,Lille,Rennes,3,1,1.5,0.5
1,Angers,Nîmes,3,4,2.5,1.8
1,Saint-Étienne,Guingamp,2,1,1,1.9
1,Nice,Reims,0,1,1.3,0.5
1,Lyon,Amiens,2,0,1,0.5
1,Bordeaux,Strasbourg,0,2,0.2,1.7
1,Paris S-G,Caen,3,0,2.8,0.2
2,Reims,Lyon,1,0,0.6,2.1
2,Guingamp,Paris S-G,1,3,1.1,2.2
2,Amiens,Montpellier,1,2,1.2,0.3
2,Rennes,Angers,1,0,0.5,0.5
2,Caen,Nice,1,1,1.3,0.8
2,Monaco,Lille,0,0,1.5,0.6
2,Dijon,Nantes,2,0,3.4,0.2
2,Strasbourg,Saint-Étienne,1,1,1,0.7
2,Toulouse,Bordeaux,2,1,2,1.7
2,Nîmes,Marseille,3,1,1.8,1
3,Lyon,Strasbourg,2,0,1.5,0.7
3,Paris S-G,Angers,3,1,2,1.7
3,Nantes,Caen,1,1,1.5,0.4
3,Toulouse,Nîmes,1,0,2.3,0.4
3,Amiens,Reims,4,1,1.7,0.9
3,Montpellier,Saint-Étienne,0,0,0.9,0.3
3,Nice,Dijon,0,4,1.9,1.2
3,Lille,Guingamp,3,0,1.8,0.7
3,Bordeaux,Monaco,2,1,2.6,0.7
3,Marseille,Rennes,2,2,1.6,2.3
4,Lyon,Nice,0,1,2.2,0.5
4,Nîmes,Paris S-G,2,4,1.5,2.3
4,Reims,Montpellier,0,1,2.6,0.5
4,Strasbourg,Nantes,2,3,1.6,1
4,Guingamp,Toulouse,1,2,2.2,1.1
4,Dijon,Caen,0,2,1.3,1.5
4,Angers,Lille,1,0,1.1,1.5
4,Saint-Étienne,Amiens,0,0,0.7,0.3
4,Rennes,Bordeaux,2,0,1.9,0.6
4,Monaco,Marseille,2,3,1.4,1.4
5,Nice,Rennes,2,1,1.1,1.1
5,Paris S-G,Saint-Étienne,4,0,2.3,0.7
5,Caen,Lyon,2,2,1.7,1.2
5,Dijon,Angers,1,3,1.5,2
5,Toulouse,Monaco,1,1,1.1,0.6
5,Amiens,Lille,2,3,1.5,2.8
5,Montpellier,Strasbourg,1,1,0.4,0.5
5,Nantes,Reims,0,0,0.8,0.7
5,Bordeaux,Nîmes,3,3,1.3,1.6
5,Marseille,Guingamp,4,0,2,0.1
6,Monaco,Nîmes,1,1,1.8,0.7
6,Lille,Nantes,2,1,0.6,1.5
6,Angers,Toulouse,0,0,0.8,0.4
6,Strasbourg,Amiens,3,1,1.3,0.7
6,Saint-Étienne,Caen,2,1,3.2,0.6
6,Reims,Dijon,0,0,1,0.2
6,Montpellier,Nice,1,0,1.8,0.6
6,Rennes,Paris S-G,1,3,0.8,1.5
6,Guingamp,Bordeaux,1,3,1.8,1.1
6,Lyon,Marseille,4,2,2.6,0.6
7,Monaco,Angers,0,1,0.7,0.4
7,Nantes,Nice,1,2,1.2,1.1
7,Toulouse,Saint-Étienne,2,3,1.2,1.8
7,Amiens,Rennes,2,1,0.9,1.5
7,Caen,Montpellier,2,2,0.8,1.7
7,Marseille,Strasbourg,3,2,1.5,0.7
7,Nîmes,Guingamp,0,0,1,0.6
7,Bordeaux,Lille,1,0,1.1,1.6
7,Dijon,Lyon,0,3,1.4,2.8
7,Paris S-G,Reims,4,1,3.2,0.4
8,Saint-Étienne,Monaco,2,0,1.5,2.6
