HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A,B365A
Juventus,Cagliari,3,0,H,17,5,7,2,13,11,4,1,1,0,0,0,1.14,8,19
Hellas Verona,Napoli,1,3,A,12,22,4,12,7,9,3,6,2,2,0,1,8,4.75,1.4
Atalanta,Roma,0,1,A,14,6,6,1,14,16,4,1,1,2,0,0,3.2,3.3,2.3
Bologna,Torino,1,1,D,13,9,3,3,18,10,0,8,2,1,0,0,3.1,3.3,2.38
Crotone,Milan,0,3,A,6,19,2,10,9,14,2,9,1,3,1,0,6,4,1.57
Inter,Fiorentina,3,0,H,16,15,6,3,7,13,9,7,0,1,0,0,1.57,4,6
Lazio,SPAL,0,0,D,23,9,13,2,20,4,9,5,2,2,0,0,1.29,5.5,11
Sampdoria,Benevento,2,1,H,16,18,6,7,10,10,6,7,1,2,0,0,1.67,3.75,5.5
Sassuolo,Genoa,0,0,D,14,12,3,4,16,28,2,5,2,3,0,0,2.2,3.25,3.5
Udinese,Chievo,1,2,A,18,10,5,3,11,10,5,4,2,2,0,0,2.1,3.2,3.8
Benevento,Bologna,0,1,A,15,14,5,4,10,13,6,2,1,3,0,0,2.7,3.2,2.75
Genoa,Juventus,2,4,A,9,17,3,7,13,8,1,4,4,3,0,0,9,4.5,1.4
Roma,Inter,1,3,A,18,14,3,8,12,8,12,6,1,1,0,0,2.3,3.5,3
Chievo,Lazio,1,2,A,13,13,5,3,8,8,9,6,1,1,0,0,3.5,3.2,2.2
Crotone,Hellas Verona,0,0,D,13,5,4,0,13,11,1,3,1,3,0,0,2.5,3.2,2.88
Fiorentina,Sampdoria,1,2,A,25,12,10,5,20,11,14,7,3,4,0,0,1.8,3.5,4.5
Milan,Cagliari,2,1,H,15,14,5,4,20,17,2,6,2,1,0,0,1.22,6.5,13
Napoli,Atalanta,3,1,H,10,14,4,2,15,9,9,6,1,2,0,0,1.4,4.75,8
SPAL,Udinese,3,2,H,10,11,4,3,9,14,0,7,3,1,0,0,2.5,3.1,2.9
Torino,Sassuolo,3,0,H,14,19,5,2,13,16,5,11,1,1,0,0,1.75,3.6,5
Juventus,Chievo,3,0,H,15,15,4,2,10,7,10,6,2,1,0,0,1.17,7.5,17
Atalanta,Sassuolo,2,1,H,9,16,3,3,13,18,3,7,0,1,0,0,1.55,4,6.5
Benevento,Torino,0,1,A,15,16,5,6,13,22,2,10,2,2,0,0,4.33,3.75,1.83
Bologna,Napoli,0,3,A,5,17,2,7,10,16,5,7,5,1,0,0,10,5,1.33
Cagliari,Crotone,1,0,H,13,9,4,2,16,16,6,4,2,1,0,0,1.67,3.75,5.5
Inter,SPAL,2,0,H,19,9,7,1,14,13,8,5,2,2,0,0,1.25,6,13
Lazio,Milan,4,1,H,12,18,7,6,14,12,3,5,1,1,0,0,2.45,3.4,2.9
Udinese,Genoa,1,0,H,14,12,5,2,12,17,1,8,4,0,1,1,2.38,3.2,3.2
Hellas Verona,Fiorentina,0,5,A,14,20,2,10,12,11,8,6,2,1,0,0,3.4,3.3,2.2
Crotone,Inter,0,2,A,12,7,4,3,10,6,8,6,1,2,0,0,10,5,1.33
Fiorentina,Bologna,2,1,H,14,6,4,2,16,8,7,3,1,3,0,0,1.55,4.2,6
Roma,Hellas Verona,3,0,H,30,8,10,1,7,12,8,1,1,1,0,1,1.17,7.5,17
Chievo,Atalanta,1,1,D,15,10,4,6,13,11,6,5,2,0,0,0,3,3.2,2.5
Genoa,Lazio,2,3,A,5,18,4,6,10,12,2,1,1,2,0,0,3.8,3.5,2
Milan,Udinese,2,1,H,21,4,7,2,13,10,10,3,1,2,0,0,1.4,4.6,8.5
Napoli,Benevento,6,0,H,27,6,14,0,6,7,8,1,0,1,0,0,1.11,10,19
Sassuolo,Juventus,1,3,A,13,14,4,6,15,13,3,4,1,2,0,0,7.5,4.33,1.45
SPAL,Cagliari,0,2,A,12,11,3,3,12,21,7,4,1,3,0,0,2.38,3.3,3.1
Torino,Sampdoria,2,2,D,13,11,3,5,14,15,3,6,2,1,0,0,1.67,4,5
Bologna,Inter,1,1,D,14,11,3,3,12,18,4,11,4,3,0,0,5.75,4,1.6
Atalanta,Crotone,5,1,H,14,7,11,5,5,19,3,3,0,1,0,0,1.33,5,10
Benevento,Roma,0,4,A,16,21,5,7,10,8,2,9,2,0,0,0,8,5.25,1.36
Cagliari,Sassuolo,0,1,A,17,14,3,6,21,10,5,2,3,3,0,0,2.2,3.4,3.3
Genoa,Chievo,1,1,D,11,16,2,7,19,7,6,2,1,2,0,0,2.2,3.3,3.5
Juventus,Fiorentina,1,0,H,12,9,5,0,10,23,3,1,1,2,0,1,1.33,5.25,9
Lazio,Napoli,1,4,A,4,17,2,11,9,13,3,2,2,3,0,0,3.4,3.6,2.1
Milan,SPAL,2,0,H,20,6,7,0,19,15,9,8,1,2,0,0,1.25,6.5,11
Udinese,Torino,2,3,A,16,13,6,8,17,13,12,1,1,5,0,0,2.88,3.5,2.4
Hellas Verona,Sampdoria,0,0,D,14,17,6,5,17,6,4,7,3,1,0,0,3.6,3.5,2.05
Juventus,Torino,4,0,H,23,6,10,1,16,12,6,3,1,4,0,1,1.4,4.5,8.5
Roma,Udinese,3,1,H,18,14,8,5,9,10,5,8,0,1,0,0,1.25,6,12
SPAL,Napoli,2,3,A,6,21,2,12,9,11,4,6,3,1,0,0,15,6,1.22
Cagliari,Chievo,0,2,A,15,16,3,4,25,16,6,2,2,2,1,0,2.25,3.3,3.3
Crotone,Benevento,2,0,H,17,16,4,2,12,12,2,7,0,0,0,0,1.91,3.4,4.33
Fiorentina,Atalanta,1,1,D,10,16,2,5,22,11,3,8,2,5,0,0,2.2,3.4,3.2
Inter,Genoa,1,0,H,14,9,7,3,10,14,8,4,0,2,0,2,1.3,5.5,10
Sampdoria,Milan,2,0,H,12,6,4,0,13,17,7,4,0,2,0,0,3.5,3.75,2
Sassuolo,Bologna,0,1,A,8,8,3,4,11,15,3,6,3,4,1,0,2.1,3.3,3.75
Hellas Verona,Lazio,0,3,A,9,12,2,5,8,13,3,4,2,2,0,0,5.5,4,1.62
Genoa,Bologna,0,1,A,18,8,7,4,15,9,10,3,4,2,0,0,2.25,3.2,3.3
Udinese,Sampdoria,4,0,H,15,13,7,2,12,10,3,4,4,2,0,1,2.7,3.25,2.6
Atalanta,Juventus,2,2,D,7,16,3,8,22,11,0,3,3,1,0,0,4.75,3.75,1.7
Benevento,Inter,1,2,A,11,22,2,7,13,10,1,11,2,3,0,0,11,5,1.29
Chievo,Fiorentina,2,1,H,13,22,6,4,10,10,3,7,2,1,0,0,2.8,3.25,2.5
Lazio,Sassuolo,6,1,H,22,8,13,6,13,8,5,4,2,3,0,0,1.4,4.5,8
Milan,Roma,0,2,A,17,11,3,6,15,8,5,5,3,1,1,0,2.55,3.4,2.63
Napoli,Cagliari,3,0,H,25,4,6,0,6,10,7,2,0,0,0,0,1.13,8,21
SPAL,Crotone,1,1,D,17,13,5,4,12,17,12,6,2,1,0,0,1.91,3.4,4
Torino,Hellas Verona,2,2,D,12,20,5,7,11,15,6,5,1,4,0,1,1.33,5,9
Juventus,Lazio,1,2,A,18,10,6,5,10,14,4,2,2,1,0,0,1.53,4.5,5.75
Roma,Napoli,0,1,A,10,16,2,6,12,9,5,2,2,2,0,0,3.2,3.4,2.25
Bologna,SPAL,2,1,H,14,7,2,2,20,14,2,5,2,2,0,0,1.75,3.5,5.25
Cagliari,Genoa,2,3,A,12,18,7,11,13,14,6,7,2,0,0,0,2.25,3.3,3.3
Crotone,Torino,2,2,D,9,21,3,9,15,7,3,8,1,0,0,0,3.75,3.5,2
Fiorentina,Udinese,2,1,H,13,8,6,2,11,14,4,4,1,1,0,0,1.67,3.8,5.5
Inter,Milan,3,2,H,15,21,6,6,17,12,2,7,6,2,0,0,2.2,3.4,3.4
Sampdoria,Atalanta,3,1,H,11,21,7,11,10,14,4,6,3,3,0,0,2.8,3.3,2.6
Sassuolo,Chievo,0,0,D,18,9,4,2,8,15,6,8,2,0,0,0,2.25,3.3,3.3
Hellas Verona,Benevento,1,0,H,13,8,3,1,15,12,5,3,4,3,0,1,1.91,3.5,4.2
Napoli,Inter,0,0,D,12,11,3,2,9,9,5,7,1,1,0,0,1.61,4.2,5
Sampdoria,Crotone,5,0,H,6,8,5,2,11,20,4,0,1,3,0,0,1.53,3.79,7.5
Atalanta,Bologna,1,0,H,20,6,2,0,12,15,10,3,3,4,0,1,1.6,3.75,6.5
Benevento,Fiorentina,0,3,A,9,14,1,7,16,18,3,5,2,1,0,0,6,3.79,1.57
Chievo,Hellas Verona,3,2,H,22,11,8,3,8,11,5,4,2,3,0,1,1.9,3.39,4.33
Lazio,Cagliari,3,0,H,10,12,3,5,12,15,4,5,1,4,0,0,1.28,6,9
Milan,Genoa,0,0,D,18,12,7,2,14,21,5,3,0,2,1,0,1.44,4.33,8
SPAL,Sassuolo,0,1,A,13,12,2,2,18,15,10,3,3,3,0,1,2.6,3.29,2.75
Torino,Roma,0,1,A,5,16,0,5,26,14,0,5,1,1,0,0,3.75,3.6,1.95
Udinese,Juventus,2,6,A,11,13,4,5,19,9,1,6,6,3,0,1,7.5,4.5,1.44
Inter,Sampdoria,3,2,H,24,12,8,2,12,11,8,4,2,2,0,0,1.44,4.75,7
Atalanta,Hellas Verona,3,0,H,23,11,7,4,7,14,5,5,0,0,0,0,1.36,5,8.5
Bologna,Lazio,1,2,A,7,14,3,3,12,9,10,4,2,2,0,0,5.25,3.75,1.7
Cagliari,Benevento,2,1,H,13,9,5,3,26,15,5,2,5,1,0,0,1.44,4.5,7.5
Chievo,Milan,1,4,A,9,17,3,4,12,10,1,1,2,3,0,0,3.6,3.25,2.14
Fiorentina,Torino,3,0,H,15,5,7,0,22,22,5,6,1,3,0,1,1.85,3.79,4
Genoa,Napoli,2,3,A,7,19,4,6,8,5,1,4,1,1,0,0,9,5.25,1.33
Juventus,SPAL,4,1,H,16,6,6,2,16,13,5,2,1,0,0,0,1.12,9,21
Roma,Crotone,1,0,H,20,3,4,2,8,9,10,1,0,1,0,0,1.16,8,15
Sassuolo,Udinese,0,1,A,11,8,3,2,15,19,6,3,2,3,0,0,2,3.5,3.75
Milan,Juventus,0,2,A,11,9,4,4,21,10,5,6,2,0,0,0,4.2,3.5,1.9
Roma,Bologna,1,0,H,15,10,3,2,10,13,7,5,1,4,0,0,1.28,5.75,10
Benevento,Lazio,1,5,A,19,12,6,9,12,10,2,6,1,1,0,0,11,5.5,1.28
Crotone,Fiorentina,2,1,H,11,17,5,3,19,17,3,5,3,3,0,0,5.5,3.75,1.64
Napoli,Sassuolo,3,1,H,26,8,9,1,14,13,6,5,2,2,0,0,1.14,9,15
Sampdoria,Chievo,4,1,H,15,13,7,6,9,11,8,6,2,3,0,0,1.83,3.6,4.5
SPAL,Genoa,1,0,H,7,13,3,2,14,24,4,5,4,3,0,0,3.1,3.1,2.5
Torino,Cagliari,2,1,H,19,7,6,3,9,19,7,6,4,3,0,0,1.6,4.33,5.25
