HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Chievo,Juventus,2,3,A,7,23,2,11,7,9,0,8,2,0,0,0,13,5.75,1.25
Lazio,Napoli,1,2,A,9,11,5,6,8,5,4,7,0,0,0,0,2.8,3.4,2.5
Bologna,SPAL,0,1,A,8,10,3,5,16,11,7,0,4,2,1,0,2.25,3.2,3.4
Empoli,Cagliari,2,0,H,9,12,4,5,19,19,6,6,3,3,0,0,2.14,3.2,3.6
Parma,Udinese,2,2,D,9,16,6,6,10,13,4,5,2,2,0,0,2.45,3.3,2.9
Sassuolo,Inter,1,0,H,7,11,5,4,23,11,4,4,3,2,0,0,5.5,4,1.61
Torino,Roma,0,1,A,8,16,5,13,10,14,6,5,1,3,0,0,3.5,3.5,2.1
Atalanta,Frosinone,4,0,H,16,6,10,1,14,10,4,4,0,2,0,0,1.36,4.5,11
Juventus,Lazio,2,0,H,14,8,9,3,12,13,6,2,3,2,0,0,1.36,5,8.5
Napoli,Milan,3,2,H,21,6,13,4,12,9,5,1,2,2,0,0,1.61,4,5.5
Cagliari,Sassuolo,2,2,D,12,12,7,6,14,14,7,2,4,4,0,1,2.45,3.3,2.9
Fiorentina,Chievo,6,1,H,19,5,15,3,14,8,2,3,1,3,0,0,1.5,4.33,6.5
Frosinone,Bologna,0,0,D,11,10,7,5,15,12,2,5,2,1,0,0,3.3,3,2.4
Genoa,Empoli,2,1,H,10,12,4,8,14,15,3,6,3,2,0,0,1.95,3.4,4
Inter,Torino,2,2,D,9,10,6,7,16,12,5,4,1,2,0,0,1.5,4.33,7
SPAL,Parma,1,0,H,15,3,5,0,13,14,7,2,5,2,0,0,2.04,3.3,3.8
Udinese,Sampdoria,1,0,H,13,9,5,4,6,10,8,7,1,3,0,0,2.4,3.25,3.1
Roma,Atalanta,3,3,D,21,17,11,10,9,13,3,11,1,1,0,0,1.72,3.75,5
Milan,Roma,2,1,H,18,6,9,3,8,6,8,3,0,2,0,0,2.45,3.4,2.87
Bologna,Inter,0,3,A,7,10,1,4,7,10,3,7,1,1,0,0,7,4,1.53
Parma,Juventus,1,2,A,8,20,7,10,15,9,4,7,1,3,0,0,17,7,1.18
Atalanta,Cagliari,0,1,A,8,4,5,3,16,20,5,4,2,2,0,0,1.55,4.2,6
Chievo,Empoli,0,0,D,11,12,5,4,10,11,4,6,1,1,0,0,2.3,3.2,3.3
Fiorentina,Udinese,1,0,H,13,4,4,1,10,15,11,4,3,1,0,0,1.57,4,6
Lazio,Frosinone,1,0,H,17,7,8,5,11,8,7,7,1,2,0,0,1.22,6.5,13
Sampdoria,Napoli,3,0,H,7,12,4,6,13,19,4,5,2,4,0,0,6.5,4.1,1.53
