Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
1,Juventus,Cagliari,3,0,1.2,1.4
1,Hellas Verona,Napoli,1,3,1.5,1.7
1,Atalanta,Roma,0,1,1.6,0.3
1,Sampdoria,Benevento,2,1,2.1,1.3
1,Crotone,Milan,0,3,0.6,2.2
1,Bologna,Torino,1,1,0.8,0.4
1,Udinese,Chievo,1,2,0.9,0.7
1,Lazio,SPAL,0,0,1.2,0.8
1,Inter,Fiorentina,3,0,2.6,0.6
1,Sassuolo,Genoa,0,0,0.6,1.1
2,Benevento,Bologna,0,1,1.5,1.3
2,Genoa,Juventus,2,4,1.3,1.8
2,Roma,Inter,1,3,1.3,2.6
2,Torino,Sassuolo,3,0,2.3,0.9
2,Chievo,Lazio,1,2,1,0.6
2,SPAL,Udinese,3,2,1.5,1.3
2,Napoli,Atalanta,3,1,1.3,1.1
2,Fiorentina,Sampdoria,1,2,2.7,2.5
2,Milan,Cagliari,2,1,1.1,0.8
2,Crotone,Hellas Verona,0,0,1.1,0.2
3,Juventus,Chievo,3,0,1.4,0.7
3,Inter,SPAL,2,0,2,0.7
3,Hellas Verona,Fiorentina,0,5,0.9,3.3
3,Cagliari,Crotone,1,0,1.5,0.5
3,Udinese,Genoa,1,0,1.4,0.8
3,Atalanta,Sassuolo,2,1,0.5,1.2
3,Lazio,Milan,4,1,2.2,1.9
3,Benevento,Torino,0,1,1,1
3,Bologna,Napoli,0,3,0.4,2.1
4,Crotone,Inter,0,2,0.8,0.5
4,Fiorentina,Bologna,2,1,0.6,0.4
4,Roma,Hellas Verona,3,0,4.7,0.5
4,Sassuolo,Juventus,1,3,1.6,1
4,Napoli,Benevento,6,0,4.9,0.2
4,Torino,Sampdoria,2,2,1.8,0.9
4,Milan,Udinese,2,1,2.4,0.4
4,SPAL,Cagliari,0,2,0.7,1
4,Chievo,Atalanta,1,1,1.1,1.7
4,Genoa,Lazio,2,3,0.3,3.3
5,Bologna,Inter,1,1,0.7,1.5
5,Benevento,Roma,0,4,1,2.1
5,Udinese,Torino,2,3,2.2,1.4
5,Lazio,Napoli,1,4,0.2,2.5
5,Milan,SPAL,2,0,2.1,0.1
5,Hellas Verona,Sampdoria,0,0,0.5,1.2
5,Atalanta,Crotone,5,1,3.2,0.5
5,Juventus,Fiorentina,1,0,1,0.4
5,Genoa,Chievo,1,1,0.8,1.1
5,Cagliari,Sassuolo,0,1,1.7,2.4
6,Roma,Udinese,3,1,3.5,1.2
6,SPAL,Napoli,2,3,0.2,1.7
6,Juventus,Torino,4,0,2.6,0.3
6,Sampdoria,Milan,2,0,1.3,0.4
6,Hellas Verona,Lazio,0,3,0.5,1.9
6,Cagliari,Chievo,0,2,1.3,1.2
6,Crotone,Benevento,2,0,1.4,2
6,Inter,Genoa,1,0,0.8,0.6
6,Sassuolo,Bologna,0,1,0.6,2.1
6,Fiorentina,Atalanta,1,1,0.4,2.6
7,Udinese,Sampdoria,4,0,4,0.6
7,Genoa,Bologna,0,1,1.5,0.9
7,Napoli,Cagliari,3,0,3.1,0.3
7,Torino,Hellas Verona,2,2,1.7,3.2
7,Benevento,Inter,1,2,1,1.9
7,Chievo,Fiorentina,2,1,1.1,1.8
7,SPAL,Crotone,1,1,2.7,0.6
7,Lazio,Sassuolo,6,1,3.3,1.5
7,Milan,Roma,0,2,1.2,1.5
7,Atalanta,Juventus,2,2,1.2,2.5
8,Juventus,Lazio,1,2,2.8,1.7
8,Roma,Napoli,0,1,0.4,1.3
8,Fiorentina,Udinese,2,1,2,0.5
8,Sampdoria,Atalanta,3,1,1.3,2.8
8,Bologna,SPAL,2,1,1.6,0.8
8,Cagliari,Genoa,2,3,1.3,2
8,Crotone,Torino,2,2,0.7,1.6
8,Sassuolo,Chievo,0,0,2,0.4
