League,GoalsNetIncome,GoalsWin,GoalsMax,BetAmountGoals,GOalsProfitPercent,GoalsBets,GoalsWinPercent,xGNetIncome,xGWin,xGMax,BetAmountxG,xGProfitPercent,xGBets,xGWinPercent,RegNetIncome,RegWin,RegMax,BetAmountReg,RegProfitPercent,RegBets,RegWinPercent,RFNetIncome,RFWin,RFMax,BetAmountRF,RFProfitPercent,RFBets,RFWinPercent,KCOFilter
Bunde2018,-452.22029034484,67,154.54272848799997,4618.536273986,-0.09791420127887271,189,0.3544973544973545,-567.4499299988199,50,72.06039319300001,2627.688628609,-0.21595021716831295,189,0.26455026455026454,2299.08618622035,90,384.02935893999995,6267.394027762,0.36683287759415406,189,0.47619047619047616,1435.36022789423,72,384.77170015999997,4462.276207678,0.3216654821645694,189,0.38095238095238093,All Values
Bunde2019,9876.7955045992,106,954.7052364400001,8259.265370646,1.195844310766671,189,0.5608465608465608,8892.95811711785,104,836.9708263299999,6608.418538492,1.345701405762833,189,0.5502645502645502,10299.81325056597,110,685.0139373100001,7066.191745036,1.4576187035685226,189,0.582010582010582,9209.69689132512,99,859.8844806000001,6379.130736469,1.4437228631597079,189,0.5238095238095238,All Values
LaLiga2018,-400.78996455550987,95,79.97726266450002,5406.425476225,-0.07413215373410802,250,0.38,-189.64734253115003,74,103.446486918,3388.724510497,-0.05596422546114137,250,0.296,2809.01476749361,114,316.25381169,8273.520310638,0.3395186887837588,250,0.456,1549.5069487172702,103,238.95054469299998,6433.812358654,0.24083806961405357,250,0.412,All Values
LaLiga2019,2805.792230438,88,1304.09469679,6261.971809067,0.4480684864111593,250,0.352,429.55755573720006,71,536.63998173,4985.001497499,0.08616999532552021,250,0.284,3307.04830929124,102,772.97574027,8084.363917031,0.40906722448805355,250,0.408,2693.53974518601,98,640.33293301,6998.80914252,0.384856864980343,250,0.392,All Values
Ligue12018,-366.1098595654799,95,168.0798928217,5075.219287813,-0.07213675681849069,250,0.38,-613.0021859057599,66,87.19087705000001,3059.775413116,-0.20034221573193622,250,0.264,2939.45968441827,104,740.8537797699998,7456.533016023,0.39421265594905847,250,0.416,2053.67808800893,94,384.87735297,6229.496448581,0.3296699990055748,250,0.376,All Values
Ligue12019,-466.68541372254,95,280.937063605,6761.384528667,-0.06902216724161768,250,0.38,373.78345279592,78,133.93363403,2779.721336865,0.13446795829450914,250,0.312,2972.7778291027103,110,301.356587405,7006.278755422,0.4243019629788702,250,0.44,1862.3921839802201,106,342.50477991,5788.327116793,0.3217496431010401,250,0.424,All Values
PL2018,-869.55117143536,93,84.64247699399999,5673.04956416,-0.1532775558544081,250,0.372,38.56232896292004,93,133.27018398799999,3275.889460322,0.011771559886251351,250,0.372,3378.4748884802802,117,453.54780455,8523.142761387,0.39638839604869996,250,0.468,3490.64321855863,119,627.24484271,7012.094873478,0.4978031931315371,250,0.476,All Values
PL2019,87.82440705179009,111,84.41648359000001,4988.068793376,0.01760689571250865,250,0.444,471.83608182096003,91,311.167713255,3622.13756313,0.1302645395425656,250,0.364,4367.52108903699,115,406.13738888499995,7458.069028164,0.5856101723574648,250,0.46,2735.74043722291,108,399.86665619999997,6815.750536624,0.4013850598730959,250,0.432,All Values
SerieA2018,-799.6764754448101,100,120.60605109,5785.918598782,-0.13821080642461006,250,0.4,0.624764410790061,72,204.97388899,3032.965091932,2.0599129625724962e-4,250,0.288,2015.3446026064,106,453.34987674,7470.430013669,0.26977625102153807,250,0.424,1205.26898908324,90,610.97392999,6104.969710437,0.19742423734268874,250,0.36,All Values
SerieA2019,-760.95834698989,88,63.219552964,4650.510050808,-0.16362900814668224,250,0.352,-856.3656076389,66,141.49562795100002,2787.604997913,-0.3072047898751927,250,0.264,1068.05379070117,97,636.3888226099999,6978.726606485,0.15304422295446826,250,0.388,536.9244396025501,83,346.61516267,5665.48537657,0.09477112796425839,250,0.332,All Values
Bunde2018,-479.83725335088,27,154.54272848799997,2891.25119767,-0.16596180011531722,74,0.36486486486486486,-488.29518699207,7,64.51969178200001,1110.80034399,-0.43958861701294705,36,0.19444444444444445,905.55493022013,34,252.13153463999998,4392.621160254,0.20615366023683387,81,0.41975308641975306,1273.5932903483,35,384.77170015999997,3251.946717444,0.3916402699701465,81,0.43209876543209874,Greater than 2
