HomeTeam,AwayTeam,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Betis,Levante,0,3,A,22,6,8,4,10,10,5,3,0,2,0,0,1.66,4,5
Girona,Valencia,0,0,D,13,2,1,1,21,20,3,2,1,1,0,0,1.75,3.6,5
Barcelona,Alavés,3,0,H,25,3,9,0,6,13,7,1,0,2,0,0,1.11,10,21
Celta Vigo,Espanyol,1,1,D,12,14,2,5,13,14,8,7,3,2,0,0,1.85,3.5,4.5
Villarreal,Real Sociedad,1,2,A,16,8,7,4,16,10,4,6,2,3,0,0,2.04,3.4,3.8
Eibar,Huesca,1,2,A,18,8,6,6,12,13,7,0,1,1,0,0,1.66,3.75,5.5
Rayo Vallecano,Getafe,2,0,H,10,4,3,1,11,27,3,0,1,7,0,0,1.2,7,13
Valladolid,Real Madrid,1,4,A,13,17,2,8,6,15,2,6,1,0,0,0,3.25,3.6,2.14
Athletic Club,Leganés,2,1,H,17,12,5,2,12,13,6,2,4,5,0,0,1.75,3.3,5.5
Sevilla,Atlético Madrid,1,1,D,13,9,4,3,10,15,4,10,2,3,0,0,3,3.2,2.5
Getafe,Eibar,2,0,H,7,9,4,0,14,11,5,5,2,1,0,0,1.95,3.2,4.33
Leganés,Real Sociedad,2,2,D,18,7,5,6,12,9,5,0,1,2,0,0,3.5,3.3,2.1
Alavés,Betis,0,0,D,16,13,4,5,17,15,5,6,3,1,0,0,2.8,3.25,2.6
Atlético Madrid,Valladolid,1,0,H,9,13,2,3,7,8,8,5,1,1,0,0,1.16,7,21
Valencia,Barcelona,0,1,A,7,10,4,5,13,11,6,10,1,1,0,0,17,7.5,1.16
Espanyol,Sevilla,2,0,H,19,16,9,4,16,12,6,10,1,1,0,0,3.25,3.2,2.37
Girona,Rayo Vallecano,1,4,A,10,20,5,8,13,11,4,7,2,3,0,0,8,5.5,1.36
Real Madrid,Villarreal,0,0,D,19,14,2,6,13,14,4,5,3,2,0,0,1.72,4.2,4.33
Athletic Club,Huesca,2,2,D,14,9,4,4,17,17,3,2,2,2,0,0,1.61,3.6,6.5
Levante,Celta Vigo,1,2,A,15,21,6,9,14,8,7,7,2,3,0,0,2.4,3.25,3
Eibar,Real Sociedad,2,1,H,8,7,2,2,18,15,4,2,3,2,0,0,2.75,3.25,2.62
Getafe,Valencia,0,0,D,12,7,3,4,22,14,6,7,3,1,0,0,1.9,3.2,4.75
Villarreal,Girona,0,1,A,13,14,3,6,15,11,7,2,3,2,0,0,1.57,4,6
Celta Vigo,Atlético Madrid,2,0,H,10,9,4,0,12,14,2,8,4,5,0,1,5.5,3.4,1.75
Rayo Vallecano,Leganés,4,1,H,17,8,8,3,11,11,8,1,1,1,0,0,1.12,9,21
Alavés,Espanyol,2,1,H,8,11,5,7,19,13,0,12,4,3,0,0,2.9,3.1,2.54
Barcelona,Huesca,8,2,H,31,7,15,3,6,12,9,4,1,2,0,0,1.08,11,29
Betis,Real Madrid,1,0,H,11,8,3,2,15,17,5,8,3,6,0,1,2.8,3.5,2.45
Levante,Sevilla,2,2,D,13,18,4,5,14,10,3,5,4,2,1,0,3.75,3.4,2
Huesca,Valladolid,0,1,A,14,14,4,2,16,18,6,3,2,1,0,0,2.14,3.5,3.4
Athletic Club,Rayo Vallecano,1,1,D,11,16,3,6,18,6,1,2,6,2,0,0,6,4.33,1.53
Atlético Madrid,Eibar,1,1,D,18,12,9,3,5,21,14,3,2,2,0,0,1.36,4.33,12
Real Sociedad,Barcelona,1,2,A,8,12,5,6,18,8,1,6,1,1,0,0,7,5.25,1.4
Sevilla,Betis,0,0,D,12,11,2,6,22,9,5,4,6,3,0,0,1.75,3.75,4.75
Espanyol,Levante,1,0,H,22,16,9,4,17,13,5,4,1,2,0,0,1.72,3.6,5.25
Leganés,Villarreal,0,1,A,16,9,3,3,16,9,6,1,4,3,0,0,3,3.1,2.54
