Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
1,Bayern Munich,Hoffenheim,3,1,2.8,0.9
1,Wolfsburg,Schalke 04,2,1,1.3,1.4
1,Hertha BSC,Nürnberg,1,0,1.4,1.3
1,Werder Bremen,Hannover 96,1,1,1.8,1
1,Freiburg,Eint Frankfurt,0,2,2,0.9
1,Düsseldorf,Augsburg,1,2,1.3,1.3
1,M'Gladbach,Leverkusen,2,0,4.1,1.4
1,Mainz 05,Stuttgart,1,0,1.1,1
1,Dortmund,RB Leipzig,4,1,1,1.6
2,Hannover 96,Dortmund,0,0,0.8,0.7
2,Leverkusen,Wolfsburg,1,3,1.5,1.2
2,Augsburg,M'Gladbach,1,1,1.1,1.1
2,Eint Frankfurt,Werder Bremen,1,2,1.2,1.7
2,Hoffenheim,Freiburg,3,1,3.5,2.7
2,Nürnberg,Mainz 05,1,1,1.2,0.4
2,Stuttgart,Bayern Munich,0,3,0.2,1.8
2,RB Leipzig,Düsseldorf,1,1,1.8,1.2
2,Schalke 04,Hertha BSC,0,2,1.8,0.6
3,Dortmund,Eint Frankfurt,3,1,0.9,0.3
3,Bayern Munich,Leverkusen,3,1,1.3,0.8
3,Düsseldorf,Hoffenheim,2,1,1.5,2.3
3,Mainz 05,Augsburg,2,1,2.8,0.7
3,RB Leipzig,Hannover 96,3,2,2.3,1.2
3,Wolfsburg,Hertha BSC,2,2,2,0.8
3,M'Gladbach,Schalke 04,2,1,1.3,1.6
3,Werder Bremen,Nürnberg,1,1,0.7,1
3,Freiburg,Stuttgart,3,3,1.1,1
4,Stuttgart,Düsseldorf,0,0,1.4,0.9
4,Wolfsburg,Freiburg,1,3,0.7,2
4,Augsburg,Werder Bremen,2,3,2.2,1.5
4,Hertha BSC,M'Gladbach,4,2,2.8,2.2
4,Nürnberg,Hannover 96,2,0,1.2,0.7
4,Hoffenheim,Dortmund,1,1,2.1,1.3
4,Schalke 04,Bayern Munich,0,2,0.4,2.4
4,Leverkusen,Mainz 05,1,0,1.3,0.8
4,Eint Frankfurt,RB Leipzig,1,1,1.6,1.5
5,Werder Bremen,Hertha BSC,3,1,2.5,1
5,Bayern Munich,Augsburg,1,1,1.7,1.3
