Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
1,Arsenal,Leicester City,4,3,2.1,1.6
1,Watford,Liverpool,3,3,2,3
1,West Brom,Bournemouth,1,0,1.2,0.4
1,Everton,Stoke City,1,0,0.4,0.3
1,Southampton,Swansea City,0,0,2.1,0.4
1,Chelsea,Burnley,2,3,1,0.8
1,Crystal Palace,Huddersfield,0,3,1,1.7
1,Brighton,Manchester City,0,2,0.5,1.6
1,Newcastle Utd,Tottenham,0,2,0.5,2.2
1,Manchester Utd,West Ham,4,0,2.1,0.6
2,Swansea City,Manchester Utd,0,4,0.4,2.6
2,Southampton,West Ham,3,2,2.1,1.7
2,Leicester City,Brighton,2,0,1.7,0.2
2,Bournemouth,Watford,0,2,1.3,1.8
2,Burnley,West Brom,0,1,1.5,0.8
2,Liverpool,Crystal Palace,1,0,2.3,0.5
2,Stoke City,Arsenal,1,0,0.7,1.2
2,Huddersfield,Newcastle Utd,1,0,0.3,1.4
2,Tottenham,Chelsea,1,2,0.6,0.8
2,Manchester City,Everton,1,1,1.1,0.5
3,Bournemouth,Manchester City,1,2,0.4,1.6
3,Crystal Palace,Swansea City,0,2,0.9,1.1
3,Huddersfield,Southampton,0,0,1.4,0.8
3,Watford,Brighton,0,0,0.3,0.9
3,Newcastle Utd,West Ham,3,0,3.3,0.5
3,Manchester Utd,Leicester City,2,0,2.6,0.6
3,West Brom,Stoke City,1,1,0.6,1.2
3,Chelsea,Everton,2,0,1.1,0.6
3,Tottenham,Burnley,1,1,2.1,1.2
3,Liverpool,Arsenal,4,0,2.6,0.7
4,Manchester City,Liverpool,5,0,2.8,0.8
4,Southampton,Watford,0,2,0.3,1
4,Brighton,West Brom,3,1,0.5,0.7
4,Leicester City,Chelsea,1,2,1.4,1.2
4,Everton,Tottenham,0,3,1,2
4,Arsenal,Bournemouth,3,0,1.6,0.8
4,Stoke City,Manchester Utd,2,2,1.1,2.1
4,Burnley,Crystal Palace,1,0,0.4,1.7
4,Swansea City,Newcastle Utd,0,1,1.2,1.2
4,West Ham,Huddersfield,2,0,1.6,0.4
5,Bournemouth,Brighton,2,1,1.2,0.7
5,Crystal Palace,Southampton,0,1,1.2,1.1
5,Liverpool,Burnley,1,1,2.2,0.4
5,Watford,Manchester City,0,6,0.6,3.4
5,West Brom,West Ham,0,0,0.5,0.3
5,Huddersfield,Leicester City,1,1,1,1.4
5,Newcastle Utd,Stoke City,2,1,1.9,0.8
5,Tottenham,Swansea City,0,0,1.6,0.1
5,Chelsea,Arsenal,0,0,0.7,1.1
5,Manchester Utd,Everton,4,0,3.1,0.7
6,West Ham,Tottenham,2,3,0.9,1.8
6,Southampton,Manchester Utd,0,1,1.1,1.1
6,Everton,Bournemouth,2,1,2.1,0.9
6,Burnley,Huddersfield,0,0,0.3,0.4
6,Swansea City,Watford,1,2,1.4,1.7
6,Stoke City,Chelsea,0,4,0.5,1.8
6,Manchester City,Crystal Palace,5,0,3.8,0.4
6,Leicester City,Liverpool,2,3,2.9,2
6,Brighton,Newcastle Utd,1,0,1,1
6,Arsenal,West Brom,2,0,2.1,1.1
7,Huddersfield,Tottenham,0,4,0.3,2.6
7,Stoke City,Southampton,2,1,2.4,1.6
7,Manchester Utd,Crystal Palace,4,0,2.6,0.6
7,Bournemouth,Leicester City,0,0,1.6,0.5
7,West Brom,Watford,2,2,1.5,1.5
7,West Ham,Swansea City,1,0,0.5,0.2
7,Chelsea,Manchester City,0,1,0.3,1
7,Arsenal,Brighton,2,0,2.3,0.6
7,Everton,Burnley,0,1,1.4,0.4
7,Newcastle Utd,Liverpool,1,1,0.4,1.8
8,Liverpool,Manchester Utd,0,0,1.5,0.3
8,Tottenham,Bournemouth,1,0,2.2,0.3
8,Swansea City,Huddersfield,2,0,1.5,0.6
8,Crystal Palace,Chelsea,2,1,1.2,0.8
8,Manchester City,Stoke City,7,2,3.1,0.4
8,Burnley,West Ham,1,1,1.4,1.1
