Wk,Home,Away,HomeGoals,AwayGoals,HomexG,AwayxG
1,Chievo,Juventus,2,3,1,2.3
1,Lazio,Napoli,1,2,1.1,1.5
1,Torino,Roma,0,1,0.7,1.5
1,Empoli,Cagliari,2,0,0.9,0.9
1,Bologna,SPAL,0,1,0.9,0.7
1,Parma,Udinese,2,2,1.4,2.1
1,Sassuolo,Inter,1,0,1.6,1.4
1,Atalanta,Frosinone,4,0,2.3,0.5
2,Juventus,Lazio,2,0,2.2,0.2
2,Napoli,Milan,3,2,2.3,0.7
2,SPAL,Parma,1,0,1.2,0.5
2,Fiorentina,Chievo,6,1,3.1,1.2
2,Inter,Torino,2,2,1.4,1.6
2,Genoa,Empoli,2,1,1.1,2.3
2,Frosinone,Bologna,0,0,1.4,1.2
2,Cagliari,Sassuolo,2,2,1.6,1.9
2,Udinese,Sampdoria,1,0,1.5,0.7
2,Roma,Atalanta,3,3,2,2.4
3,Milan,Roma,2,1,1.5,0.5
3,Bologna,Inter,0,3,0.5,2
3,Parma,Juventus,1,2,1.6,2.4
3,Fiorentina,Udinese,1,0,0.7,0.2
3,Atalanta,Cagliari,0,1,0.6,0.5
3,Chievo,Empoli,0,0,1,1.2
3,Sampdoria,Napoli,3,0,0.8,1.8
3,Lazio,Frosinone,1,0,2.1,0.6
3,Sassuolo,Genoa,5,3,1.4,1.8
3,Torino,SPAL,1,0,1.3,1
4,Inter,Parma,0,1,1.8,0.5
4,Napoli,Fiorentina,1,0,1.5,0.4
4,Frosinone,Sampdoria,0,5,0.5,2.7
4,Roma,Chievo,2,2,2.5,1.2
4,Udinese,Torino,1,1,0.5,1
4,Genoa,Bologna,1,0,0.7,0.8
4,Juventus,Sassuolo,2,1,2.6,0.8
4,Empoli,Lazio,0,1,1.6,2.3
4,Cagliari,Milan,1,1,0.4,1.6
4,SPAL,Atalanta,2,0,1.5,0.8
1,Sampdoria,Fiorentina,1,1,0.8,1.6
5,Sassuolo,Empoli,3,1,1.5,1.6
5,Parma,Cagliari,2,0,2.1,1.4
5,Fiorentina,SPAL,3,0,1.5,0.8
5,Sampdoria,Inter,0,1,0.7,0.9
5,Torino,Napoli,1,3,1.3,1.8
5,Chievo,Udinese,0,2,1.7,1.7
5,Lazio,Genoa,4,1,2.7,0.9
5,Bologna,Roma,2,0,1.8,2.9
5,Milan,Atalanta,2,2,2,2.1
5,Frosinone,Juventus,0,2,0.1,2.2
6,Inter,Fiorentina,2,1,2.2,1.3
6,Udinese,Lazio,1,2,0.6,1
6,Atalanta,Torino,0,0,0.8,0.2
6,Genoa,Chievo,2,0,1.2,1.3
6,Roma,Frosinone,4,0,2.8,1
6,Juventus,Bologna,2,0,1.1,0.5
6,Napoli,Parma,3,0,3.4,0.1
6,Cagliari,Sampdoria,0,0,0.8,2.6
6,SPAL,Sassuolo,0,2,1.2,2.1
6,Empoli,Milan,1,1,1.5,1.7
7,Roma,Lazio,3,1,1.5,1
7,Juventus,Napoli,3,1,2.2,1.7
7,Inter,Cagliari,2,0,1.2,0.1
7,Bologna,Udinese,2,1,1.3,0.8
7,Frosinone,Genoa,1,2,1.9,1.4
7,Fiorentina,Atalanta,2,0,1.1,0.9
7,Chievo,Torino,0,1,0.5,2.4
7,Parma,Empoli,1,0,0.9,1.4
7,Sassuolo,Milan,1,4,0.9,1.4
7,Sampdoria,SPAL,2,1,1.2,1.2
8,Torino,Frosinone,3,2,2.4,1.8
8,Cagliari,Bologna,2,0,1.6,0.4
8,Udinese,Juventus,0,2,0.8,2.1
8,Empoli,Roma,0,2,1.7,0.9
8,Genoa,Parma,1,3,1.6,1.2
8,Milan,Chievo,3,1,2.3,0.5
8,Atalanta,Sampdoria,0,1,1.9,0.5
8,Lazio,Fiorentina,1,0,0.9,1.3
8,Napoli,Sassuolo,2,0,2,0.8
8,SPAL,Inter,1,2,2.7,1.2
9,Roma,SPAL,0,2,2.1,1.6
9,Juventus,Genoa,1,1,2,0.5
9,Udinese,Napoli,0,3,0.9,2
9,Frosinone,Empoli,3,3,1.1,1.6
9,Bologna,Torino,2,2,1.2,0.8
9,Chievo,Atalanta,1,5,0.9,2
9,Parma,Lazio,0,2,0.2,2.3
9,Fiorentina,Cagliari,1,1,1.4,0.8
