Home,Away,Wk,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Bayern Munich,Leverkusen,1,3,1,H,13,19,8,4,13,17,4,5,1,2,0,0,1.25,6,12
Freiburg,Eint Frankfurt,1,0,1,A,17,8,8,4,20,20,4,5,2,1,0,0,2.88,3.1,2.63
Hamburger SV,Augsburg,1,2,0,H,12,5,3,2,13,17,5,4,1,2,0,0,1.95,3.39,4
Hertha BSC,Stuttgart,1,1,1,D,15,13,4,4,14,16,4,5,1,5,0,0,2.29,3.39,3.1
Hoffenheim,Werder Bremen,1,1,1,D,8,10,4,5,9,12,5,7,1,0,0,0,1.91,3.6,4
M'Gladbach,Köln,1,3,3,D,23,13,7,6,11,15,9,3,0,1,0,0,2.75,3.39,2.54
Mainz 05,Hannover 96,1,3,2,H,14,9,4,2,14,17,4,2,1,1,0,0,1.7,3.75,5.25
Schalke 04,RB Leipzig,1,2,0,H,11,12,5,3,22,18,4,5,2,2,0,0,2.8,3.4,2.5
Wolfsburg,Dortmund,1,0,3,A,9,13,0,5,7,15,3,5,0,0,0,0,3.8,4,1.85
Augsburg,M'Gladbach,2,2,2,D,24,15,9,3,13,12,10,0,2,2,0,0,3.25,3.4,2.25
Dortmund,Hertha BSC,2,1,0,H,25,8,9,4,14,10,12,2,2,1,0,0,1.44,4.75,7
Eint Frankfurt,Wolfsburg,2,0,1,A,12,7,6,3,18,19,7,2,3,1,0,0,2.3,3.25,3.3
Hannover 96,Schalke 04,2,3,2,H,18,7,7,4,16,15,8,1,2,2,0,0,4.33,3.39,1.9
Köln,Hamburger SV,2,1,1,D,12,7,4,3,12,19,4,2,1,1,0,0,1.66,4.2,4.75
Leverkusen,Hoffenheim,2,0,2,A,15,9,6,4,18,16,9,4,2,2,0,0,1.53,4.33,6
RB Leipzig,Freiburg,2,1,2,A,15,14,3,5,12,10,3,7,1,1,0,0,1.55,4,6.5
Stuttgart,Mainz 05,2,1,0,H,17,13,4,6,12,18,5,6,2,1,0,0,2.3,3.4,3.1
Werder Bremen,Bayern Munich,2,0,2,A,4,19,1,8,9,10,2,8,1,1,0,0,11,6.5,1.25
Augsburg,Köln,3,0,2,A,8,17,2,6,11,18,8,5,0,2,0,0,2.89,3.39,2.45
Freiburg,Dortmund,3,2,3,A,16,17,5,7,13,16,5,2,2,1,0,0,5,3.79,1.7
Hamburger SV,RB Leipzig,3,2,1,H,9,12,4,3,12,12,6,6,0,0,0,0,3.5,3.5,2.1
Hertha BSC,Werder Bremen,3,2,1,H,10,14,6,4,16,20,4,2,1,2,0,0,2.89,3.5,2.37
Hoffenheim,Bayern Munich,3,2,2,D,10,15,5,5,14,11,1,9,0,2,0,0,8.5,5,1.36
M'Gladbach,Eint Frankfurt,3,0,1,A,15,12,3,6,17,17,13,5,3,2,0,0,1.83,3.6,4.5
Mainz 05,Leverkusen,3,3,1,H,14,13,5,2,16,15,1,3,2,2,0,0,3,3.4,2.38
Schalke 04,Stuttgart,3,3,1,H,12,11,4,2,15,19,2,1,1,1,0,0,1.7,3.75,5
Wolfsburg,Hannover 96,3,1,3,A,10,14,1,5,14,17,2,6,3,2,0,0,2.2,3.39,3.29
Bayern Munich,Mainz 05,4,4,0,H,28,11,14,4,9,5,10,5,2,2,0,0,1.13,10,19
Dortmund,Köln,4,2,1,H,18,12,3,5,7,13,6,4,0,0,0,0,1.5,4.33,6.5
Eint Frankfurt,Augsburg,4,1,2,A,23,11,8,3,13,13,4,4,2,3,0,0,1.85,3.5,4.5
Hannover 96,Hamburger SV,4,1,0,H,11,11,5,4,12,15,10,4,3,3,0,1,2.04,3.39,3.75
Hoffenheim,Hertha BSC,4,3,1,H,15,20,9,6,10,12,5,8,2,3,0,0,2,3.29,4
Leverkusen,Freiburg,4,2,1,H,17,9,5,2,14,13,8,10,3,2,0,0,1.33,5.25,9
RB Leipzig,M'Gladbach,4,2,2,D,10,10,3,3,13,12,3,2,1,1,1,0,1.67,3.8,5.5
Stuttgart,Wolfsburg,4,1,0,H,8,8,4,1,14,19,2,3,2,3,0,0,2.3,3.5,3
Werder Bremen,Schalke 04,4,1,2,A,16,11,2,4,15,17,6,5,2,2,0,0,2.8,3.5,2.5
Augsburg,RB Leipzig,5,1,0,H,11,14,4,3,15,17,3,2,2,2,0,0,3.5,3.5,2.1
Freiburg,Hannover 96,5,1,3,A,20,12,6,4,9,9,6,7,2,2,0,1,1.95,3.4,4
