Home,Away,Wk,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Athletic Club,Leganés,1,2,1,H,17,12,5,2,12,13,6,2,4,5,0,0,1.75,3.3,5.5
Barcelona,Alavés,1,3,0,H,25,3,9,0,6,13,7,1,0,2,0,0,1.11,10,21
Betis,Levante,1,0,3,A,22,6,8,4,10,10,5,3,0,2,0,0,1.66,4,5
Celta Vigo,Espanyol,1,1,1,D,12,14,2,5,13,14,8,7,3,2,0,0,1.85,3.5,4.5
Eibar,Huesca,1,1,2,A,18,8,6,6,12,13,7,0,1,1,0,0,1.66,3.75,5.5
Girona,Valladolid,1,2,1,H,14,14,6,5,11,16,4,7,1,3,1,0,1.85,3.5,4.5
Rayo Vallecano,Sevilla,1,2,0,H,13,7,3,2,11,10,2,2,1,3,0,0,1.44,4.75,7
Real Madrid,Getafe,1,0,2,A,15,10,1,5,10,22,7,1,3,6,0,0,1.55,4,7
Valencia,Atlético Madrid,1,2,3,A,8,14,2,5,16,13,9,3,4,1,0,0,5.75,3.4,1.72
Villarreal,Real Sociedad,1,1,2,A,16,8,7,4,16,10,4,6,2,3,0,0,2.04,3.4,3.8
Alavés,Betis,2,0,0,D,16,13,4,5,17,15,5,6,3,1,0,0,2.8,3.25,2.6
Athletic Club,Huesca,2,2,2,D,14,9,4,4,17,17,3,2,2,2,0,0,1.61,3.6,6.5
Atlético Madrid,Rayo Vallecano,2,1,3,A,11,11,2,4,21,16,3,4,7,3,1,0,2.37,3.25,3.1
Espanyol,Valencia,2,3,1,H,15,14,6,3,17,8,5,3,2,2,0,0,1.8,3.6,4.75
Getafe,Eibar,2,2,0,H,7,9,4,0,14,11,5,5,2,1,0,0,1.95,3.2,4.33
Girona,Real Madrid,2,1,0,H,15,7,4,3,12,18,3,6,1,2,0,1,4.75,3.4,1.75
Leganés,Real Sociedad,2,2,2,D,18,7,5,6,12,9,5,0,1,2,0,0,3.5,3.3,2.1
Levante,Celta Vigo,2,1,2,A,15,21,6,9,14,8,7,7,2,3,0,0,2.4,3.25,3
Sevilla,Villarreal,2,3,0,H,18,14,9,5,13,8,7,4,1,3,0,0,1.83,3.6,4.5
Valladolid,Barcelona,2,2,3,A,11,9,5,5,23,11,3,1,4,2,0,0,9.5,6,1.28
Alavés,Espanyol,3,2,1,H,8,11,5,7,19,13,0,12,4,3,0,0,2.9,3.1,2.54
Barcelona,Huesca,3,8,2,H,31,7,15,3,6,12,9,4,1,2,0,0,1.08,11,29
Betis,Sevilla,3,1,2,A,23,4,7,3,19,13,8,2,4,2,0,1,3,3.3,2.4
Celta Vigo,Atlético Madrid,3,2,0,H,10,9,4,0,12,14,2,8,4,5,0,1,5.5,3.4,1.75
Eibar,Real Sociedad,3,2,1,H,8,7,2,2,18,15,4,2,3,2,0,0,2.75,3.25,2.62
Getafe,Valladolid,3,2,1,H,11,7,2,2,12,13,2,2,2,1,0,0,1.7,3.6,5.5
Levante,Valencia,3,2,0,H,13,13,4,3,12,18,3,2,6,5,0,0,2.1,3.5,3.5
Rayo Vallecano,Athletic Club,3,3,0,H,11,5,4,3,12,16,8,2,2,4,0,0,1.45,4.33,7
Real Madrid,Leganés,3,0,3,A,7,9,3,5,11,23,3,4,1,1,0,0,1.36,5,8.5
Villarreal,Girona,3,0,1,A,13,14,3,6,15,11,7,2,3,2,0,0,1.57,4,6
Athletic Club,Real Madrid,4,2,0,H,10,10,3,4,14,14,7,6,4,3,0,0,2.75,3.2,2.7
Atlético Madrid,Eibar,4,1,1,D,18,12,9,3,5,21,14,3,2,2,0,0,1.36,4.33,12
Espanyol,Levante,4,1,0,H,22,16,9,4,17,13,5,4,1,2,0,0,1.72,3.6,5.25
Girona,Celta Vigo,4,3,2,H,11,20,6,7,15,11,3,1,1,3,0,1,2.4,3.3,3
Huesca,Rayo Vallecano,4,0,1,A,11,5,4,4,12,10,11,6,2,2,0,0,10,5.5,1.3
Leganés,Villarreal,4,0,1,A,16,9,3,3,16,9,6,1,4,3,0,0,3,3.1,2.54
Real Sociedad,Barcelona,4,1,2,A,8,12,5,6,18,8,1,6,1,1,0,0,7,5.25,1.4
Sevilla,Getafe,4,0,0,D,8,9,2,1,13,22,3,5,3,4,0,0,2,3.3,4
Valencia,Betis,4,0,2,A,10,6,2,3,10,9,13,4,1,2,0,0,2.7,3.2,2.75
Valladolid,Alavés,4,1,5,A,13,11,4,7,14,12,8,4,1,2,1,0,2.04,3.4,3.6
Barcelona,Girona,5,2,2,D,22,7,11,6,9,16,8,2,3,5,1,0,1.08,11,21
Betis,Athletic Club,5,2,2,D,15,7,3,4,13,20,6,1,2,7,0,1,2.14,3.3,3.6
Celta Vigo,Valladolid,5,2,2,D,14,11,5,4,16,20,3,5,0,4,0,0,1.45,4.75,7
Eibar,Leganés,5,1,0,H,14,4,3,2,16,17,5,2,1,1,0,0,2.04,3.2,4
Getafe,Atlético Madrid,5,0,2,A,11,7,2,4,12,15,1,5,1,2,1,0,5,3.3,1.8
