Home,Away,Wk,HomeGoals,AwayGoals,FTR,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,B365H,B365D,B365A
Angers,Nîmes,1,3,4,A,21,14,7,5,20,12,5,1,2,2,0,1,2.3,3.2,3.3
Bordeaux,Strasbourg,1,0,2,A,5,17,2,6,6,12,3,10,1,0,1,0,1.7,3.6,5
Lille,Rennes,1,3,1,H,15,8,6,2,12,13,2,6,1,0,0,0,2.5,3.1,3.1
Lyon,Amiens,1,2,0,H,15,10,7,1,9,17,10,1,0,2,0,0,1.2,7,13
Marseille,Toulouse,1,4,0,H,23,5,10,1,7,20,5,1,1,3,0,0,1.4,4.5,8
Montpellier,Dijon,1,1,2,A,16,9,7,4,15,21,4,2,2,2,0,0,1.72,3.5,5.5
Nantes,Monaco,1,1,3,A,16,11,4,6,8,15,7,2,1,0,0,0,3.2,3.25,2.3
Nice,Reims,1,0,1,A,19,5,1,3,13,14,10,2,1,2,0,0,1.85,3.5,4.5
Paris S-G,Caen,1,3,0,H,11,5,8,1,13,7,6,3,1,0,0,0,1.08,12,23
Saint-Étienne,Guingamp,1,2,1,H,11,11,6,5,14,11,6,9,3,1,0,0,1.8,3.5,4.75
Amiens,Montpellier,2,1,2,A,11,7,2,3,15,15,6,2,1,3,0,0,3.2,3,2.5
Caen,Nice,2,1,1,D,13,16,4,5,22,11,5,10,2,2,0,0,2.75,3.1,2.75
Dijon,Nantes,2,2,0,H,14,7,7,0,18,13,3,4,0,1,0,1,2.6,3.25,2.8
Guingamp,Paris S-G,2,1,3,A,11,17,3,7,15,16,4,7,0,1,0,0,13,7,1.2
Monaco,Lille,2,0,0,D,10,13,1,4,10,14,8,4,0,0,0,0,1.5,4.33,6.5
Nîmes,Marseille,2,3,1,H,14,10,7,5,11,11,6,7,3,1,0,0,4.75,3.8,1.72
Reims,Lyon,2,1,0,H,7,19,2,5,11,10,0,4,2,0,0,0,4.75,4,1.7
Rennes,Angers,2,1,0,H,5,7,2,0,8,11,3,0,1,2,0,0,1.9,3.3,4.5
Strasbourg,Saint-Étienne,2,1,1,D,11,9,5,2,11,7,7,2,1,2,0,1,2.6,3.2,2.8
Toulouse,Bordeaux,2,2,1,H,13,15,5,8,10,11,1,2,1,1,0,0,2.6,3.1,2.9
Amiens,Reims,3,4,1,H,14,7,8,3,18,17,4,2,1,1,0,1,2.6,3.25,2.8
Bordeaux,Monaco,3,2,1,H,14,15,6,5,10,14,5,8,1,2,0,0,3.1,3.3,2.37
Lille,Guingamp,3,3,0,H,13,13,7,4,13,13,4,4,2,1,0,1,2,3.4,3.9
Lyon,Strasbourg,3,2,0,H,22,9,10,1,13,13,5,4,1,2,0,0,1.28,5.75,11
Marseille,Rennes,3,2,2,D,8,7,3,2,16,15,8,4,1,1,0,0,1.5,4.33,6.5
Montpellier,Saint-Étienne,3,0,0,D,14,9,1,2,12,14,6,3,3,0,0,0,2.4,3.1,3.2
Nantes,Caen,3,1,1,D,16,3,3,2,16,16,3,1,2,3,0,1,1.95,3.25,4.33
Nice,Dijon,3,0,4,A,16,9,3,5,11,19,5,3,2,3,0,0,1.9,3.4,4.33
Paris S-G,Angers,3,3,1,H,13,11,5,6,10,2,9,1,2,0,0,0,1.07,13,26
Toulouse,Nîmes,3,1,0,H,10,9,5,0,17,21,3,3,1,3,0,0,2.3,3.2,3.3
Angers,Lille,4,1,0,H,6,17,3,4,14,8,4,5,0,1,1,0,2.45,3.25,3
Dijon,Caen,4,0,2,A,15,9,2,4,11,13,9,5,0,3,0,0,1.9,3.4,4.33
Guingamp,Toulouse,4,1,2,A,23,5,5,4,12,13,11,4,3,2,0,1,2.04,3.4,3.75
Lyon,Nice,4,0,1,A,29,8,9,1,6,14,10,5,0,2,0,0,1.33,5.25,9.5
Monaco,Marseille,4,2,3,A,8,15,4,5,11,16,1,5,1,1,0,0,2.8,3.3,2.54
Nîmes,Paris S-G,4,2,4,A,14,7,6,5,12,11,3,4,1,3,1,1,11,7,1.22
Reims,Montpellier,4,0,1,A,21,9,6,3,11,11,5,5,0,0,0,0,2.6,3.1,2.9
Rennes,Bordeaux,4,2,0,H,16,8,8,1,12,14,6,5,0,3,0,0,2.1,3.3,3.75
Saint-Étienne,Amiens,4,0,0,D,19,9,5,2,11,12,14,1,3,2,0,0,1.61,3.75,6
Strasbourg,Nantes,4,2,3,A,10,14,5,5,12,12,1,3,1,2,0,0,2.3,3.1,3.4
Amiens,Lille,5,2,3,A,8,18,4,9,12,21,3,3,1,2,0,0,3.4,3.1,2.3
Bordeaux,Nîmes,5,3,3,D,15,14,4,5,12,9,8,3,2,0,0,0,1.83,3.4,4.5
Caen,Lyon,5,2,2,D,18,17,4,6,15,13,2,4,1,2,2,0,5.5,3.75,1.64
