HomeBet,KCO Value
0,2
0.1,2.000086642
0.2,2.000172849
0.3,2.000258623
0.4,2.000343963
0.5,2.000428869
0.6,2.000513342
0.7,2.000597382
0.8,2.000680988
0.9,2.000764162
1,2.000846902
1.1,2.00092921
1.2,2.001011085
1.3,2.001092528
1.4,2.001173539
1.5,2.001254118
1.6,2.001334264
1.7,2.001413979
1.8,2.001493262
1.9,2.001572113
2,2.001650533
2.1,2.001728522
2.2,2.001806079
2.3,2.001883206
2.4,2.001959901
2.5,2.002036166
2.6,2.002111999
2.7,2.002187402
2.8,2.002262375
2.9,2.002336917
3,2.002411029
3.1,2.00248471
3.2,2.002557961
3.3,2.002630783
3.4,2.002703174
3.5,2.002775135
3.6,2.002846667
3.7,2.002917769
3.8,2.002988441
3.9,2.003058684
4,2.003128497
4.1,2.003197881
4.2,2.003266835
4.3,2.00333536
4.4,2.003403456
4.5,2.003471123
4.6,2.003538361
4.7,2.003605169
4.8,2.003671549
4.9,2.0037375
5,2.003803022
5.1,2.003868115
5.2,2.003932779
5.3,2.003997014
5.4,2.004060821
5.5,2.004124199
5.6,2.004187149
5.7,2.004249669
5.8,2.004311762
5.9,2.004373425
6,2.004434661
6.1,2.004495467
6.2,2.004555845
6.3,2.004615795
6.4,2.004675316
6.5,2.004734409
6.6,2.004793073
6.7,2.004851309
6.8,2.004909117
6.9,2.004966496
7,2.005023446
7.1,2.005079968
7.2,2.005136062
7.3,2.005191727
7.4,2.005246963
7.5,2.005301772
7.6,2.005356151
7.7,2.005410102
7.8,2.005463625
7.9,2.005516719
8,2.005569384
8.1,2.005621621
8.2,2.005673429
8.3,2.005724808
8.4,2.005775759
8.5,2.005826281
8.6,2.005876373
8.7,2.005926037
8.8,2.005975273
8.9,2.006024079
9,2.006072456
9.1,2.006120404
9.2,2.006167922
9.3,2.006215012
9.4,2.006261672
9.5,2.006307903
9.6,2.006353705
9.7,2.006399077
9.8,2.006444019
9.9,2.006488532
10,2.006532615
10.1,2.006576268
10.2,2.006619491
10.3,2.006662285
10.4,2.006704648
10.5,2.006746581
10.6,2.006788084
10.7,2.006829156
10.8,2.006869798
10.9,2.006910009
11,2.00694979
11.1,2.00698914
11.2,2.007028059
11.3,2.007066547
11.4,2.007104603
11.5,2.007142229
11.6,2.007179423
11.7,2.007216185
11.8,2.007252516
11.9,2.007288415
12,2.007323882
12.1,2.007358918
12.2,2.007393521
12.3,2.007427691
12.4,2.007461429
12.5,2.007494735
12.6,2.007527607
12.7,2.007560047
12.8,2.007592054
12.9,2.007623627
13,2.007654767
13.1,2.007685474
13.2,2.007715746
13.3,2.007745585
13.4,2.00777499
13.5,2.00780396
13.6,2.007832496
13.7,2.007860597
13.8,2.007888264
13.9,2.007915495
14,2.007942291
14.1,2.007968652
14.2,2.007994577
14.3,2.008020067
14.4,2.008045121
14.5,2.008069738
14.6,2.008093919
14.7,2.008117663
14.8,2.008140971
14.9,2.008163841
15,2.008186274
15.1,2.00820827
15.2,2.008229828
15.3,2.008250949
15.4,2.008271631
15.5,2.008291874
15.6,2.008311679
15.7,2.008331045
15.8,2.008349972
15.9,2.00836846
16,2.008386508
16.1,2.008404116
16.2,2.008421284
16.3,2.008438012
16.4,2.008454299
16.5,2.008470145
16.6,2.008485551
16.7,2.008500514
16.8,2.008515036
16.9,2.008529116
17,2.008542754
17.1,2.008555949
17.2,2.008568702
17.3,2.008581011
17.4,2.008592877
